COUNTRY,STAGE,STAGE2,Presence_Absence,Mar_supraN,Mar_subN,Mar_Nat,Mar_org,marine_mech,marine_not,Focus,Richness,EEZ_Protected,mar_mam,mar_bird,mam_bird,Polity2,GDP,Rents,OHI
Equatorial Guinea,None,0,0,0,0,0,0,0,0,,0.365701227,0.002360121,1.29E-05,0.00001,0.000023,-6,13180195435,15.95318071,56.71
Eritrea,None,0,0,0,0,0,0,0,0,,0.348192872,0,5.11E-05,0.000038,0.000089,-7,,,56.35
Estonia,In Progress,3,1,1,0,0,0,1,0,,0.125824946,0.186257786,2.75E-05,0.000248,0.000275,9,22566956982,0.882827997,77.52
Falkland Islands (Malvinas),None,0,0,0,0,0,0,0,0,,0.222811328,0.000179205,7.28E-06,0.000024,0.000033,,,,87.84
Faroe Islands,None,0,0,0,0,0,0,0,0,,0.269595434,0.000108353,1.87E-05,0.00003,0.000049,,2476746087,,88.08
Federated States of Micronesia,None,0,0,0,0,0,0,0,0,,0.39984921,0.00017547,3.32E-07,0.000004,0.000005,,315179700,0.036294006,44.75
Fiji,None,0,0,0,0,2,0,0,0,,0.42568954,0.009243758,2.32E-06,0.000012,0.000015,2,4362128146,1.474868364,46.5
Finland,Potential,1,1,1,0,2,0,2,1,Biodiversity,0.137996875,0.109854557,1.26E-05,0.000101,0.000126,10,2.32E+11,0.587448905,77.26
France,Established,4,1,1,0,2,0,2,1,Biodiversity,0.284394929,0.306895062,2.04E-05,0.000035,0.000079,9,2.44E+12,0.041882553,81.02
French Guiana,Established,4,1,0,0,2,0,2,1,Biodiversity,0.386672493,0.009678993,2.20E-05,0.000015,0.000037,,5200000000,,59.86
French Polynesia,None,0,0,0,0,0,0,0,0,,0.327044653,4.31E-05,2.09E-07,0.000004,0.000005,,,,62.86
Gabon,Preliminary,2,1,0,0,1,3,3,1,Offshore marine ecosystems,0.306126969,0.009689988,3.10E-05,0.000021,0.000052,3,14377324798,13.104967,64.74
Gambia,None,0,0,0,0,0,0,0,0,,0.475687917,0.000694643,0.000219824,0.000132,0.000352,-5,1394149615,7.665286001,58.05
Georgia,Established,4,1,0,0,1,0,1,0,,0,0.006679181,4.37E-05,0.000218,0.000393,7,13993546748,0.956469515,68.76
Germany,Established,4,1,1,0,2,0,2,1,Fish,0.19798223,0.453379207,7.10E-05,0.000213,0.000302,10,3.38E+12,0.067989468,78.53
Ghana,Preliminary,2,1,0,0,2,3,3,1,Biodiversity,0.253877823,0.000924772,1.76E-05,0.000013,0.000031,8,49181854798,17.0852204,44.89
Gibraltar,None,0,0,0,0,0,0,0,0,,0.450175,0.12819311,0.009374268,0.016405,0.039841,,,,69.06
Greece,In Progress,3,1,1,0,0,0,1,0,,0.288625017,0.014572037,6.07E-06,0.000018,0.00004,10,1.96E+11,0.094826314,68.34
